Codice,Nome breve,Descrizione completa
21,"Stadio avanzato di usura delle pastiglie dei freni","Pastiglie dei freni usurate: Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
22,"Livello carburante basso","Livello carburante basso:   Fare rifornimento il prima possibile."
23,"Anomalia Airbag","Anomalia agli airbag o alla cintura/e di sicurezza  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
25,"Anomalia del sistema antinquinamento","Anomalia al sistema antinquinamento:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
26,"Anomalia ABS","Anomalia al sistema ABS:   Guidare con prudenza.  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
27,"Rischio di intasamento del filtro antiparticolato (FAP)","Rischio di intasamento del filtro antiparticolato (FAP):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
29,"Livello additivo del filtro antiparticolato insufficiente","Livello additivo filtro antiparticolato (FAP) troppo basso:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
30,"Temperatura olio cambio eccessiva (FR)","Temperatura olio cambio eccessiva: Contattare un riparatore autorizzato Opel. (FR)"
31,"Anomalia al sistema delle sospensioni","Anomalia al sistema sospensioni    Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
32,"Preriscaldamento/preaerazione disattivato: batteria scarica (FR)",""
33,"Preriscaldamento/preaerazione disattivato: carburante basso (FR)",""
34,"Controllare luce stop centrale (FR)",""
35,"Anomalia meccanismo tetto apribile (FR)","Anomalia al meccanismo del tetto apribile: Contattare un riparatore autorizzato Opel. (FR)"
36,"Anomalia bloccasterzo","Anomalia al bloccasterzo:  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
37,"Anomalia dell'antiavviamento elettronico","Problema all'antifurto elettronico:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
38,"Livello olio troppo alto","Livello olio troppo alto:   Correggere il livello o contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
39,"Manovra tetto impossibile: temperatura sistema eccessiva (FR)",""
40,"Manovra tetto impossibile: avviare il motore (FR)",""
41,"Manovra tetto impossibile: inserire il freno a mano (FR)",""
42,"Guasto al sistema ibrido: Arresta il veicolo, consulta il manuale",""
43,"Regolazione automatica dei fari difettosa","Anomalia alla regolazione automatica dei fari:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
44,"Anomalia del sistema di trazione ibrida","Anomalia del sistema di trazione ibrida:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
45,"Anomalia del sistema di trazione ibrida","Anomalia del sistema di trazione ibrida:    Limitare la velocità e contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
46,"Livello liquido lavacristalli insufficiente","Rabboccare il liquido lavacristalli o contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
47,"Sostituire la batteria del telecomando",""
48,"Anomalia presa d'aria controllata (FR)","Anomalia presa d'aria controllata: Contattare un riparatore autorizzato Opel. (FR)"
49,"Preriscaldamento/preaerazione disattivato: regolare l'orologio (FR)",""
50,"Anomalia collegamento rimorchio (FR)","Anomalia al collegamento del rimorchio: Contattare un riparatore autorizzato Opel. (FR)"
52,"Pressione pneumatico/i insufficiente","Anomalia al monitoraggio pressione pneumatici:  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
53,"Sensore radar di guida sporco","Sensore Radar di guida sporco:  Pulire il sensore o contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
57,"Modalità elettrica non disponibile: rigenerazione FAP in corso (FR)",""
59,"Pressione pneumatico/i insufficiente","Pressione pneumatico/i insufficiente: foratura (Anteriore Sinistro).   Riparare lo pneumatico utilizzando il kit anti-foratura o sostituirlo se il veicolo dispone di una ruota di scorta, quindi contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
60,"Pressione pneumatico/i insufficiente","Pneumatico/i forato/i rilevato/i (Anteriore Destro):    Riparare lo pneumatico utilizzando il kit anti-foratura o sostituirlo se il veicolo dispone di una ruota di scorta, quindi contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
61,"Pressione pneumatico/i insufficiente","Pneumatico/i forato/i rilevato/i (Posteriore Sinistro):   Riparare lo pneumatico utilizzando il kit anti-foratura o sostituirlo se il veicolo dispone di una ruota di scorta, quindi contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
62,"Pressione pneumatico/i insufficiente","Pneumatico/i forato/i rilevato/i (Posteriore Destro):   Riparare lo pneumatico utilizzando il kit anti-foratura o sostituirlo se il veicolo dispone di una ruota di scorta, quindi contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
63,"Anomalia lampadina/e luci di posizione (Anteriore Sinistra)","Anomalia luce di posizione (Anteriore Sinistra):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
64,"Anomalia lampadina/e luci di posizione (Anteriore Destra)","Anomalia luce di posizione (Anteriore Destra):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
65,"Anomalia lampadina/e luci di posizione (Posteriore Destra)","Anomalia Luce di posizione (Posteriore Destra):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
66,"Anomalia lampadina/e luci di posizione (Posteriore Sinistra)","Anomalia luce di posizione (Posteriore Sinistra):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
67,"Anomalia anabbaglianti","Anabbaglianti:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
68,"Anomalia anabbaglianti","Anabbaglianti:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
69,"Anomalia abbaglianti","Abbaglianti:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
70,"Anomalia abbaglianti","Abbaglianti:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
71,"Anomalia lampadina stop Posteriore Destra","Anomalia luce di stop (Posteriore Destra):  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
72,"Anomalia lampadina stop Posteriore Sinistra","Anomalia luce di stop (Posteriore Sinistra):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
73,"Anomalia fendinebbia","Anomalia fendinebbia:  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
74,"Anomalia fendinebbia Anteriori","Anomalia fendinebbia anteriori:  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
75,"Anomalia lampadina/e fendinebbia Posteriore/i Destra","Anomalia fendinebbia posteriori:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
76,"Avviso Anomalia lampadina/e fendinebbia Posteriore/i","Anomalia fendinebbia posteriori:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
77,"Anomalia indicatore/i di direzione (Anteriore Destro)","Anomalia indicatore di direzione (Anteriore Destro):  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
78,"Anomalia indicatore/i di direzione (Posteriore Destro)","Anomalia indicatore di direzione (Posteriore Destro):  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
79,"Anomalia indicatore/i di direzione (Anteriore Sinistro)","Anomalia indicatore di direzione (Anteriore Sinistro):  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
80,"Anomalia indicatore/i di direzione (Posteriore Sinistro)","Anomalia indicatore di direzione (Posteriore Sinistro):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
81,"Anomalia luce di retromarcia","Anomalia luce di retromarcia:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
82,"Anomalia lampadina luce di retromarcia","Anomalia lampadina luce di retromarcia Sinistra:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
90,"Cofano attivo difettoso (FR)","Cofano attivo difettoso: Contattare un riparatore autorizzato Opel. (FR)"
91,"Anomalia sistema di parcheggio assistito","Anomalia al sistema di parcheggio assistito:  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
92,"Sistema di rilevamento parcheggio difettoso (FR)","Sistema di rilevamento parcheggio difettoso: Contattare un riparatore autorizzato Opel. (FR)"
94,"Pressione pneumatico/i insufficiente","Pressione pneumatico/i insufficiente (Anteriore Sinistro):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
95,"Pressione pneumatico/i insufficiente","Pressione pneumatico/i insufficiente (Anteriore Destro):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
96,"Pressione pneumatico/i insufficiente","Pressione pneumatico/i insufficiente (Posteriore Destro):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
97,"Pressione pneumatico/i insufficiente","Pressione pneumatico/i insufficiente (Posteriore Sinistro):  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
98,"Spegnere i fari (FR)",""
100,"Anomalia antinquinamento","Anomalia antinquinamento:  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
101,"Anomalia antinquinamento","Anomalia antinquinamento: Non mettere in moto il veicolo.  Contattare un riparatore autorizzato Opel. È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
102,"Anomalia antinquinamento","Anomalia antinquinamento:  Contattare un riparatore autorizzato Opel. È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
103,"Cintura passeggero post. sinistra non allacciata (FR)",""
104,"Cintura passeggero post. centrale non allacciata (FR)",""
106,"Inserire cambio automatico in posizione P (FR)",""
107,"Rischio ghiaccio",""
108,"Porta anteriore destra aperta",""
109,"Porta anteriore sinistra aperta",""
110,"Porta posteriore destra aperta",""
111,"Porta posteriore sinistra aperta",""
112,"Porta del bagagliaio aperta",""
113,"Anomalia sistema rilevamento rischio collisione (FR)","Anomalia al sistema di rilevamento del rischio di collisione: Contattare un riparatore autorizzato Opel. (FR)"
114,"Lunotto posteriore aperto (FR)",""
115,"Tappo serbatoio carburante non bloccato (FR)",""
123,"Anomalia sistema freno di stazionamento","Anomalia sistema freno di stazionamento o antiarretramento:   Contattare un riparatore autorizzato Opel. È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
124,"Alettone mobile difettoso - velocità limitata (FR)","Alettone mobile difettoso: velocità limitata. Consultare il manuale. (FR)"
125,"Anomalia del sistema di frenata automatica",""
126,"Anomalia luce/i di curva","Anomalia luce/i di curva:   Contattare un riparatore autorizzato Opel. È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
133,"Anomalia al cambio","Anomalia cambio:   Contattare un riparatore autorizzato Opel. È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
137,"Anomalia sistema avviso superamento corsia (FR)","Anomalia al sistema di avviso di superamento della linea di corsia: Contattare un riparatore autorizzato Opel. (FR)"
139,"Pressione pneumatico insufficiente (FR)",""
140,"Comando freno di stazionamento difettoso (FR)","Comando freno di stazionamento difettoso: Contattare un riparatore autorizzato Opel. (FR)"
141,"Malfunzionamento generale del motore","Anomalia sistema di controllo motore:  Evitare di utilizzare il veicolo prima dell'intervento del riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
142,"Anomalia della sospensione","Anomalia sospensione:   Velocità massima ridotta. Limitare la velocità a 90 km/h in attesa dell'intervento di un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
148,"Pressione pneumatico insufficiente","Anomalia sensore di pressione pneumatico (Anteriore Sinistro):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
149,"Pressione pneumatico insufficiente","Anomalia sensore di pressione pneumatico (Anteriore Destro):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
150,"Pressione pneumatico insufficiente","Anomalia sensore di pressione pneumatico (Posteriore Destro):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
151,"Pressione pneumatico insufficiente","Anomalia sensore di pressione pneumatico (Posteriore Sinistro):   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
152,"Anomalia della sospensione","Anomalia sospensione:   Limitare la velocità a 90 km/h in attesa dell'intervento di un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
153,"Anomalia servosterzo","Anomalia servosterzo:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
156,"Anomalia misurazione distanza intervehicolare (FR)",""
157,"Anomalia motore","Anomalia motore:   Fermare il veicolo. Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
158,"Anomalia assistenza mantenimento in corsia (FR)","Anomalia al sistema di assistenza al mantenimento in corsia: Contattare un riparatore autorizzato Opel. (FR)"
159,"Anomalia monitoraggio pressione pneumatici","Anomalia monitoraggio pressione pneumatici:  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
160,"Pneumatico posteriore destro sgonfio","Pneumatico posteriore destro sgonfio: regolare la pressione degli pneumatici, quindi reinizializzare"
161,"Pneumatico posteriore sinistro sgonfio","Pneumatico posteriore sinistro sgonfio: regolare la pressione degli pneumatici, quindi reinizializzare"
162,"Pneumatico anteriore destro sgonfio","Pneumatico anteriore destro sgonfio: regolare la pressione degli pneumatici, quindi reinizializzare"
163,"Pneumatico anteriore sinistro sgonfio","Pneumatico anteriore sinistro sgonfio: regolare la pressione degli pneumatici, quindi reinizializzare"
164,"Frenata automatica disattivata (FR)",""
165,"Livello additivo antinquinamento insufficiente","Rabboccare l'additivo antinquinamento: Non mettere in moto il veicolo prima di aver aggiunto l'additivo antinquinamento. Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
166,"Livello additivo antinquinamento insufficiente","Rabboccare l'additivo antinquinamento: Non mettere in moto il veicolo prima di aver aggiunto l'additivo antinquinamento. Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
167,"Livello additivo antinquinamento insufficiente","Rabboccare l'additivo antinquinamento:  Non mettere in moto il veicolo prima di aver aggiunto l'additivo antinquinamento. Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
